"","Height","Gender","Age","Race"
"1",69.0158799623619,1,95.66,1
"2",62.6136941261946,0,71.15,1
"3",66.0228192703058,0,76.5,3
"4",71.5976920592491,1,88.29,3
"5",62.321200433133,0,100.94,0
"6",68.2704701368079,1,45.29,3
"7",62.4386275172319,0,54.43,1
"8",71.3588165183915,1,27.43,0
"9",67.6696155582933,1,96.21,1
"10",65.9314548027414,0,31.31,1
"11",67.4685527816901,0,100.95,3
"12",64.7458193111449,0,22.1,2
"13",63.0544872226165,0,50.95,2
"14",66.9734394794134,1,90.66,2
"15",65.1042904228311,0,33.54,1
"16",71.4333456383883,0,39.05,2
"17",64.7760006997291,1,40.7,0
"18",76.6270247273083,1,81.84,0
"19",70.3029393150598,0,65.53,2
"20",66.7447875651327,1,42.57,0
"21",64.1105991656038,0,27.19,1
"22",61.9743625000262,0,74.61,3
"23",65.0907064466143,1,41.37,2
"24",70.5016136096414,0,55.06,2
"25",61.4466753425193,0,79.08,2
"26",64.0451403829828,0,52.8,3
"27",68.1103534711355,1,42.33,0
"28",67.8750068346636,0,97.1,3
"29",66.7798064839711,0,87.81,1
"30",59.3661837081072,0,94.15,1
"31",70.2296561425428,0,77.47,2
"32",71.4993088026303,1,76.2,1
"33",62.8995145537565,0,63.81,1
"34",68.4509451449571,1,60.06,2
"35",65.4053857844865,0,78.69,0
"36",64.2658509854452,0,45.05,2
"37",62.8442262688214,0,72.36,2
"38",67.5782776919755,1,36.49,3
"39",64.16669850857,0,100.89,2
"40",61.4572928784803,0,70.14,1
"41",70.3799785965874,0,39.03,1
"42",63.4738631208292,0,78.48,2
"43",64.3718359446262,0,47.73,3
"44",64.7185398982853,0,82.75,2
"45",67.0154479599507,0,61.13,1
"46",63.33320047115,0,20.68,1
"47",66.6533982842887,0,40.6,3
"48",70.897972942228,1,27.67,1
"49",66.0356944989472,0,89.25,2
"50",69.1706842494285,1,52.82,0
"51",63.1324330376021,0,33.75,1
"52",67.6595928734255,1,92.6,3
"53",67.1022841562576,0,90.71,2
"54",58.9442639695936,0,93.56,0
"55",63.8453124113241,0,20.1,1
"56",71.0799885012916,1,97.93,0
"57",68.8076134635928,1,92.77,2
"58",64.9826264568674,0,79.59,2
"59",73.1093019223713,1,28.85,1
"60",66.794259870025,1,50.02,2
"61",63.3722702064155,0,46.5,0
"62",65.0976853571724,0,57.11,2
"63",68.1042032485163,1,42.75,3
"64",62.4962554627555,0,88.66,2
"65",65.333164655947,1,27.69,3
"66",71.5841514628774,1,65.46,2
"67",67.6535547090054,1,38.89,1
"68",75.4552332076652,1,71.53,1
"69",64.9337327391018,1,22,2
"70",65.0777207625756,1,66.19,3
"71",64.1934300495489,0,89.25,2
"72",63.7642134750136,0,72.86,2
"73",70.5288349429827,1,98.35,3
"74",61.3928677894109,0,81.33,3
"75",65.2039837758362,1,53.7,1
"76",66.443233802992,0,34.71,0
"77",69.6907609895982,1,31.88,0
"78",67.0767750716011,1,41.95,1
"79",72.7440458523913,1,53.79,2
"80",67.3358863516692,0,26.11,1
"81",69.3888017383442,1,92.35,1
"82",62.9832972342222,0,78.68,2
"83",63.3900094557432,0,31.26,1
"84",66.2882079058255,0,63.21,2
"85",69.6670757250514,1,55.7,1
"86",68.697262210689,0,41.82,2
"87",64.2004043292725,0,28.14,2
"88",68.463895444033,1,26.54,2
"89",63.6137215871205,0,49.76,1
"90",67.5174983593571,1,26.14,2
"91",73.2646331147414,1,73.04,2
"92",72.5428330733003,1,83.87,1
"93",62.9036423847428,0,53.12,0
"94",56.7430779518371,0,41.59,2
"95",67.2377494654265,0,23.31,3
"96",69.3608561679753,1,34.86,3
"97",69.1527481916916,0,100.08,2
"98",72.2558264626989,1,77.67,1
"99",64.4748328837548,0,89.95,1
"100",75.2305343042315,1,88.45,3
"101",71.4007840121351,1,53.93,3
"102",70.7933142911226,1,64.84,2
"103",67.5075006351404,0,61.79,1
"104",71.6207643868425,1,59.5,2
"105",74.0473224980295,1,78.32,1
"106",68.2364696993786,0,99.8,0
"107",63.1440503370745,0,84.8,2
"108",63.6352342140611,0,58.29,1
"109",66.144409889825,0,35.08,1
"110",60.1948327007689,0,33.63,1
"111",70.5287348632452,1,24.91,2
"112",70.7417334075835,1,59.97,3
"113",67.2128080769806,1,49.22,1
"114",64.0622070997516,0,97.39,2
"115",68.2697829119529,0,57.42,3
"116",69.2459084181267,1,95.7,4
"117",62.5250225593426,0,21.56,0
"118",63.6380709807972,0,83.46,1
"119",60.2518995359821,0,77.5,2
"120",63.0425113115538,1,51.69,3
"121",64.0368676458081,0,34.6,1
"122",66.6976982193652,0,100.45,1
"123",69.9109469746972,1,98.29,1
"124",64.400235946711,0,33.22,2
"125",65.2200329956142,1,77.92,3
"126",68.8976489282337,1,66.82,0
"127",61.3603338407633,0,91.41,2
"128",62.829183750589,0,22.35,1
"129",65.2859064886279,0,26.47,3
"130",69.8946613141347,1,100.1,0
"131",58.4088610489338,0,54.23,1
"132",73.1461084376106,1,44.81,2
"133",63.061400304016,0,34.68,2
"134",60.1435358963348,0,74.67,1
"135",72.3916582692651,1,50.76,2
"136",75.8067101453363,1,38.64,3
"137",71.8800541998475,1,83.96,0
"138",68.7672859543742,1,28.43,0
"139",65.1866403476925,0,50.02,1
"140",62.736078327506,0,49.62,2
"141",69.686508137164,0,43.47,2
"142",65.7225419545826,1,70.68,1
"143",60.8959934240953,0,91.98,1
"144",67.5427218086651,1,71.32,2
"145",62.7192381603721,0,32.24,3
"146",64.0435668071113,0,97.93,2
"147",58.5699396000245,0,97.47,2
"148",67.1872089975102,0,23.78,2
"149",72.9489591646535,1,52,2
"150",71.1647424367254,0,59.15,1
"151",64.637553475916,0,62.69,4
"152",63.3837172959596,0,32.86,2
"153",63.9463652273966,1,52.8,1
"154",67.7682467161438,1,22.51,3
"155",71.350034301689,1,87.46,2
"156",64.8454917053149,0,95.48,2
"157",72.4027069530823,0,71.95,2
"158",56.3562211459498,0,61.11,1
"159",75.7068854939007,1,68.05,1
"160",61.596570994485,0,42.86,0
"161",65.533490678525,0,29.88,2
"162",65.3348904421573,0,98.28,3
"163",62.2601898637584,0,35.36,2
"164",68.7712358780934,1,94.34,2
"165",65.2637740723286,1,28.75,1
"166",60.63864264182,0,38.59,2
"167",72.1534362837195,1,68.89,2
"168",64.6937410066009,1,85.93,3
"169",67.9504745584303,0,22.52,1
"170",62.0290193116129,0,76.12,1
"171",70.3537726342847,1,26.3,1
"172",69.126026153092,0,70.73,4
"173",68.900010075336,1,98.76,2
"174",70.7950699500604,1,80.64,1
"175",67.6174533944529,0,90.36,2
"176",63.8917563113152,0,60.36,0
"177",66.1315390880959,1,62.14,0
"178",66.8847738792776,1,35.66,0
"179",69.367344501522,1,48.94,1
"180",65.674464161071,0,99.89,2
"181",70.5619913914893,1,24.01,2
"182",71.1527019194565,1,56.53,1
"183",72.5611296662444,1,59.64,2
"184",60.7726175582611,0,98.73,1
"185",70.989193254229,1,30.64,1
"186",65.3997583422381,0,44.65,2
"187",67.5565009218444,1,63.38,2
"188",66.6422096470547,1,26.56,1
"189",65.2813242356178,0,66.07,1
"190",63.7717247735853,0,81.17,1
"191",65.7748642768893,1,56.6,0
"192",66.5699452368911,0,58.3,1
"193",71.2088824157722,1,33.3,3
"194",65.8199795836307,0,64.18,0
"195",60.7115554904771,0,25.71,4
"196",71.3331045609718,1,100.56,1
"197",70.6718858791087,1,43.11,2
"198",69.4054461289834,1,32.42,2
"199",71.7145801640575,1,44.5,3
"200",66.2634405438072,0,83.06,0
"201",68.844353346003,1,35.47,2
"202",61.068888058317,0,82.32,3
"203",68.6017858764931,1,60.8,1
"204",62.1701063081723,0,28.53,2
"205",73.5908273838922,1,28.5,0
"206",67.9221811744075,1,50.66,1
"207",67.751143116275,0,49.5,2
"208",70.0534221556071,1,75.72,1
"209",69.9204934501652,1,58.59,0
"210",68.5711289348962,1,68.06,1
"211",65.0840688510727,0,93.63,1
"212",62.599445051573,0,97.35,1
"213",73.6468534561976,1,92.8,3
"214",64.6406854270551,0,29.82,0
"215",62.4669068549456,0,36.64,0
"216",75.4707326400743,1,58.57,3
"217",67.4279713225144,0,91.08,1
"218",69.4222989749135,1,46.74,1
"219",63.2749268678121,0,76.41,0
"220",66.2162891543854,1,91.34,1
"221",72.6674900902384,1,91.32,2
"222",73.6036224276726,1,62,1
"223",67.0139309015489,0,27.37,2
"224",61.8767288677365,0,32.86,1
"225",66.5068797173398,1,20.62,1
"226",57.1418667311586,0,60.72,1
"227",64.5080603753091,1,57.22,0
"228",69.0847613325758,0,39.4,3
"229",65.6731304421896,0,31.06,3
"230",68.5862994958548,1,44.83,0
"231",67.9206198818844,0,44.44,2
"232",63.9169446133851,0,41.78,1
"233",67.8508038720343,0,85.54,2
"234",66.8003593747288,0,44.28,3
"235",74.4605036473325,1,94.11,2
"236",65.9673692076954,0,97.13,3
"237",71.5548555473895,1,93.1,2
"238",66.6977099474772,1,62.89,1
"239",60.3113640487898,0,37.94,0
"240",65.113504236326,0,38.4,1
"241",64.5567340300977,0,98.24,3
"242",68.0828289833054,1,42.72,1
"243",66.155922417897,0,68.61,0
"244",67.1374925158927,1,62.73,0
"245",67.9197698735881,1,66.58,1
"246",69.5908733571118,0,43.7,4
"247",62.6685419835227,0,37.94,1
"248",68.5130499151088,1,82.94,1
"249",72.009085995421,1,66.17,1
"250",71.7848048720759,1,98.81,2
"251",62.2025530692646,0,54.86,2
"252",73.2480838547817,1,50.17,1
"253",61.5912937295488,0,21.05,3
"254",68.0122809070756,0,32.17,1
"255",69.8980707034169,1,26.46,1
"256",68.0291193128187,1,84.83,0
"257",70.1427357473839,1,59.22,1
"258",62.712153727977,0,86.19,3
"259",67.4012369462252,1,72.67,2
"260",65.7906163133591,1,91.56,0
"261",61.5446824662579,0,81.46,2
"262",68.8344814597594,1,75.62,2
"263",67.9055305941718,1,36.72,2
"264",64.8183330778679,0,61.17,1
"265",67.6902014287033,1,66.4,2
"266",71.2026617891636,1,74.86,2
"267",68.4702208278281,1,88.74,2
"268",63.5463032366722,0,34.72,2
"269",59.6863605099974,0,94.44,1
"270",66.45260488789,0,90.03,0
"271",60.0312537469939,0,54.39,3
"272",65.4354736095866,0,45.72,1
"273",62.2976481949494,0,66.54,1
"274",64.0279364361258,0,73.48,1
"275",59.6853009431354,0,61.61,1
"276",69.4141226042367,1,80.86,2
"277",63.694881568047,0,37.01,2
"278",72.9398890849165,1,27.93,1
"279",60.6782944063991,0,97.46,1
"280",69.7144520748421,1,67.43,4
"281",62.8349983915533,0,70.12,3
"282",68.9519212504871,0,78.43,1
"283",65.7597663033889,0,53.41,1
"284",69.0149615176286,0,73.37,3
"285",65.4788910360018,1,40.4,3
"286",70.6851151716346,1,87.47,2
"287",67.8454919955117,1,96.25,2
"288",62.5702878505927,1,97.64,3
"289",65.9354829094139,0,44.14,1
"290",72.6715378479274,1,31.27,2
"291",61.6874640466176,0,67.15,1
"292",61.9058871376241,0,69.36,4
"293",66.0982018192741,0,59.87,2
"294",62.5235096329674,0,72.38,1
"295",62.1284210110934,0,31.31,4
"296",65.6421272018578,0,75.65,2
"297",71.1447280002712,1,20.19,2
"298",74.6392681128536,1,20.21,2
"299",68.986992568581,1,83.34,2
"300",72.902134402624,1,86.74,2
"301",68.0854121563952,1,75.42,1
"302",62.6220780931566,0,33.04,3
"303",72.2900719850154,1,52.68,3
"304",60.6785429799595,0,41.96,3
"305",59.0513140090768,0,23.52,2
"306",63.6640357228,0,96.26,2
"307",63.0440243880766,0,52.59,2
"308",64.3337560876375,0,87.85,2
"309",65.3916638582376,0,69.1,1
"310",69.9072916345096,1,45.88,2
"311",68.976960317477,1,97.27,0
"312",66.8593021605109,1,59.89,3
"313",67.6735656016077,1,51.45,1
"314",62.920913464861,0,73.6,1
"315",64.9086912545887,0,23.68,2
"316",64.0353512994155,1,22.25,2
"317",62.6676239776712,0,56.12,1
"318",68.9256701743372,1,51.13,2
"319",68.0547397567996,1,63.65,0
"320",68.3954326285157,1,49.51,2
"321",64.4635107700848,0,81.6,3
"322",66.8825506637032,0,98.3,1
"323",67.8660100016462,1,74.69,2
"324",66.5657518489119,0,60.18,1
"325",61.7633376843932,0,38.91,1
"326",69.8513920280308,0,34.99,2
"327",64.0128392026733,1,70.83,3
"328",65.5040996699746,1,100.48,3
"329",64.2304765856628,1,67.65,1
"330",71.8904196855244,1,69.5,1
"331",70.5098430217533,1,62.53,3
"332",66.3805011495049,1,97.99,1
"333",60.4122464263783,0,41.75,0
"334",63.404946148567,0,65.9,1
"335",67.8855607397744,1,88.67,3
"336",64.9159991645405,1,30.53,2
"337",59.101119209523,0,59.12,2
"338",64.3985731806414,0,65.13,3
"339",67.1896503942855,0,65.75,0
"340",69.8783804768694,1,33.45,1
"341",63.1573118453543,0,64.19,3
"342",73.1329998520734,1,23.65,1
"343",67.3761894348007,1,20.87,2
"344",65.7273772212214,0,54.82,3
"345",73.5577803274428,1,62.85,2
"346",63.4743782564297,0,27.5,2
"347",66.5308368821626,0,39.5,0
"348",71.6521196194179,1,66.32,1
"349",67.780244149441,1,21.23,2
"350",65.7469206652037,0,94.31,0
"351",63.4798472242542,0,58.47,1
"352",63.1442838317488,0,85.83,2
"353",70.1490838722221,1,85.49,2
"354",59.7605276275021,0,74.22,2
"355",72.5902990481324,1,87.1,1
"356",67.9401133665717,1,70.97,3
"357",63.8336592138387,1,82.04,2
"358",70.7952619877322,1,44.36,1
"359",58.0149479832642,0,61.36,2
"360",70.7691992815724,1,81.84,2
"361",65.5001863542382,1,73.66,1
"362",72.3925909875337,1,82.63,2
"363",66.6357205449184,0,45.95,1
"364",68.6945871821234,1,80.42,2
"365",60.7377563105395,0,69.16,2
"366",64.6510656473536,0,30.85,2
"367",75.148264503614,1,61.03,1
"368",65.0162733194212,1,37.75,2
"369",67.2202897720217,1,62.12,1
"370",68.8471080900692,0,35.41,1
"371",73.0463216344385,1,46.84,2
"372",62.4840610705805,0,33.57,3
"373",70.0543630182498,1,23.63,0
"374",68.658002166916,0,73.14,1
"375",66.8654596524637,0,77.52,2
"376",71.1307858888769,1,61.13,4
"377",63.4646104294572,0,79.84,3
"378",64.1521469777995,0,52.01,1
"379",63.349304476736,0,77.73,0
"380",65.8646489381825,0,48.97,3
"381",66.2060744359002,0,90.24,1
"382",72.6926471901179,1,89.81,1
"383",60.7912842979826,0,57.96,2
"384",67.3820678474475,1,42.37,1
"385",62.643980883512,0,86.89,2
"386",72.5969023519667,1,75.62,1
"387",65.8720172749019,0,92.36,2
"388",70.543092040089,1,63.18,2
"389",64.8889989909185,0,87.76,1
"390",72.3618940407182,1,90.58,1
"391",65.1086950960281,1,33.52,2
"392",67.1161637045384,0,91.06,3
"393",72.2417160690144,1,88.24,3
"394",65.6578103413952,0,71.13,1
